name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
DES J002802.42-424913.52,McDougall2025,16.0,22.13094709605632,26.197131060391495,19.921112403866974,20.38872074532631,0.5277777777777778,0.127,2150.0,-1.0,60.833333333333336,18,19,-1,100,4.897788193684437e+43,2
DES J024347.34-005354.84,McDougall2025,27.5,33.884415613920346,26.385809382642147,34.769151501014804,19.090779830965698,0.5277777777777778,0.237,2150.0,-1.0,60.833333333333336,18,19,-1,100,1.1481536214968887e+44,0
PG 1411+442 ,Hu2025,80.2,47.4341649025257,46.721235750093285,17.34650016720579,16.862441331552485,0.545,0.089,1596.0,8.0,8.0,155,109,396,396,2.2500000000000004e+44,2
PG 1322+65,Woo2024,49.3,80.49844718999242,80.57673131078904,29.349719425157957,28.95286447304388,0.5454545454545454,0.168,2043.0,17.0,17.0,65,66,39,39,6.480000000000001e+44,2
Mrk 1501,Woo2024,11.7,34.928498393145965,34.63317924759061,15.200025428868365,14.933271347776408,0.5213675213675214,0.089,1741.0,15.0,15.0,38,61,41,41,1.2200000000000002e+44,2
J0101+422,Woo2024,76.1,81.67006795638164,81.0930953563387,28.425657649970546,29.20668660636087,0.5246913580246914,0.19,2103.0,13.0,13.0,84,85,46,46,6.670000000000001e+44,0
J0140+234,Woo2024,113.6,115.54220008291338,109.41530535809005,32.56661445915918,41.162145022746316,0.5337837837837838,0.32,2064.0,14.0,14.0,87,79,31,31,1.3350000000000001e+45,0
Mrk 1014,Woo2024,107.6,85.848704125339,86.03506588751901,38.68197079382142,34.63584270870375,0.5316455696202531,0.163,1572.0,20.0,20.0,31,42,39,39,7.37e+44,0
J0801+512,Woo2024,166.8,56.92099788303082,59.545209928652106,30.92671679568118,35.28208105917588,0.5432098765432098,0.321,2015.0,25.0,25.0,31,44,14,14,3.2400000000000006e+44,2
J0939+375,Woo2024,19.3,53.38539126015656,53.47562847205683,20.467355047914403,20.5926689444101,0.5348837209302325,0.231,2050.0,16.0,16.0,57,69,27,27,2.8500000000000005e+44,2
PG 0947+396,Woo2024,36.7,61.48170459575756,59.81131220741764,26.161841560068453,22.95205511820285,0.5374149659863946,0.206,2050.0,14.0,14.0,72,79,31,31,3.7800000000000005e+44,2
J1026+523,Woo2024,34.1,55.13619500836089,54.047958590795524,27.828206109673623,23.5197195064452,0.5289855072463768,0.259,2059.0,15.0,15.0,73,73,16,16,3.0400000000000005e+44,2
J1059+665,Woo2024,189.4,88.656641037206,82.79848846811299,40.59204358377373,41.47817894342658,0.5068493150684932,0.34,2018.0,28.0,28.0,36,37,24,24,7.860000000000001e+44,2
Mrk 1014,Hu2025,95.9,56.39148871948674,56.87284850217202,21.2881924548318,16.924109146139564,0.5459940652818991,0.163,2018.0,6.0,6.0,164,184,145,145,3.1800000000000003e+44,2
3C 249.1,Woo2024,53.7,209.8809186181536,196.31192487236711,48.070632373001104,55.47388711250264,0.5,0.312,2059.0,28.0,28.0,40,37,41,41,4.405e+45,2
J1105+671,Woo2024,24.8,61.88699378706322,63.09895659040363,25.518864376027423,32.37952554534064,0.5571428571428572,0.32,2015.0,29.0,29.0,29,39,23,23,3.8300000000000005e+44,2
J1120+423,Woo2024,44.4,58.13776741499453,58.557545262197486,24.859591725213967,24.40058467513399,0.5348837209302325,0.226,2059.0,16.0,16.0,48,69,30,30,3.38e+44,0
PG 1121+422,Woo2024,115.8,82.82511696339462,81.22772511727136,31.240616289681043,27.423577812110068,0.5409836065573771,0.225,2074.0,17.0,17.0,61,66,33,33,6.860000000000001e+44,2
J1203+455,Woo2024,52.6,98.94442884771227,95.14168313877266,32.29408088167925,38.52803549688197,0.543859649122807,0.343,2041.0,18.0,18.0,49,62,25,25,9.79e+44,2
2E 1202.1+2811,Woo2024,38.5,52.44044240850759,51.38006793639608,19.292333283613125,22.483133044936324,0.5374149659863946,0.165,2057.0,14.0,14.0,84,79,30,30,2.75e+44,0
J1217+333,Woo2024,26.5,39.1152144312159,41.80602512653623,15.24127102868077,15.229386658419251,0.5328467153284672,0.178,2052.0,15.0,15.0,60,73,26,26,1.53e+44,2
VIII Zw 218,Woo2024,63.3,53.85164807134504,53.73240160334527,19.864992114217443,19.104499238907295,0.5374149659863946,0.127,2056.0,14.0,14.0,79,79,38,38,2.9e+44,0
J1415+483,Woo2024,25.3,66.40783086353598,66.80511797682524,26.569430988298777,30.421613398520826,0.5425531914893617,0.275,1974.0,21.0,21.0,30,51,28,28,4.4100000000000006e+44,2
PG 1427+480,Woo2024,33.3,79.12016177940993,77.47782816206103,29.21907192885888,27.547994903245723,0.5486111111111112,0.22,2007.0,14.0,14.0,57,79,38,38,6.2600000000000006e+44,2
PG 1121+422,Hu2025,100.9,72.525857457875,69.23735483976171,33.40549555213295,26.483433393244255,0.6,0.225,899.0,14.0,14.0,41,39,284,284,5.2600000000000005e+44,2
PG 1440+356,Woo2024,50.6,60.08327554319919,62.394613476693735,26.15411642889515,21.93352214510795,0.5407407407407407,0.079,2015.0,15.0,15.0,62,73,70,70,3.61e+44,0
J1456+380,Woo2024,77.8,72.93833011524188,74.99981486760024,27.673968651113924,30.755333060975232,0.5407407407407407,0.283,2020.0,15.0,15.0,79,73,25,25,5.3200000000000004e+44,0
J1526+275,Woo2024,63.9,81.30190649671137,80.32179620958709,28.632752489782476,29.11546562000592,0.5486725663716814,0.231,2020.0,18.0,18.0,51,62,43,43,6.610000000000001e+44,0
J1540+355,Woo2024,57.9,53.19774431308154,52.19403911501872,24.578333458400813,17.021823176722137,0.5433070866141733,0.164,2019.0,16.0,16.0,81,69,37,37,2.8300000000000004e+44,0
PG 1545+210,Woo2024,60.3,133.97761006974258,129.8507166132094,33.83415465665945,42.251740562857734,0.543859649122807,0.264,2046.0,18.0,18.0,69,62,41,41,1.795e+45,2
PG 1612+261,Woo2024,63.7,71.55417527999327,69.61885922595768,23.60497293809034,23.475052672900688,0.5454545454545454,0.131,2042.0,17.0,17.0,32,66,56,56,5.12e+44,0
J1619+501,Woo2024,32.3,51.18593556827892,50.07553511870915,19.263788080680904,22.626037823599265,0.5328467153284672,0.234,2046.0,15.0,15.0,84,73,25,25,2.6200000000000004e+44,2
PG 2251+113,Woo2024,152.7,175.81240001774623,162.74422889456363,32.55744448728032,43.96733513866471,0.55,0.326,1693.0,17.0,17.0,28,55,59,59,3.091e+45,0
PG 2349-014,Woo2024,55.9,67.67569726275453,67.80882664120645,26.641225084820277,27.15100737638314,0.5420560747663551,0.174,1703.0,16.0,16.0,34,58,37,37,4.58e+44,0
PG 1307+085 ,Bentz2013,105.6,78.5235634610071,81.68120850110435,41.17850650043691,42.9261553641337,0.5227272727272727,0.155,2739.0,-1.0,63.47826086956522,23,23,45,45,6.165950018614809e+44,1
PG 1116+215,Hu2025,145.5,145.8423806717375,141.9355444921976,36.482810451544395,36.64328936842148,0.5460122699386503,0.1754,1625.0,10.0,10.0,96,89,359,359,2.1270000000000002e+45,0
PG 1426+015 ,Bentz2013,95.0,60.95368972401694,60.59955716020919,28.931914687877935,28.373788804979675,0.4473684210526316,0.086,2739.0,-1.0,73.0,20,17,69,69,3.715352290971728e+44,2
PG 1613+658 ,Bentz2013,40.1,71.61434102129027,70.09690814111053,24.283536438182622,30.18059533067494,0.5384615384615384,0.129,2739.0,-1.0,30.416666666666668,48,49,79,79,5.128613839913659e+44,2
PG 1617+175 ,Bentz2013,71.5,46.23810213992594,43.13029303760312,28.224294892185135,15.741426417328118,0.515625,0.114,2739.0,-1.0,42.94117647058823,34,33,69,69,2.1379620895022236e+44,2
PG 1700+518 ,Bentz2013,251.8,184.07720014689582,173.92317054836317,28.46927094507879,35.53400011250065,0.5285714285714286,0.292,2739.0,-1.0,39.45945945945946,37,37,200,200,3.3884415613920345e+45,2
PG 2130+099 ,Bentz2013,9.6,37.15352290971728,35.53805358038166,4.021464422018639,10.895163382295433,1.0,0.061,116.0,0.99,0.99,88,118,41,41,1.3803842646028867e+44,2
3C 120,Bentz2013,25.9,27.227013080779045,26.57653350246968,1.9105781934459856,4.1837926809560315,1.0,0.03301,128.0,0.99,0.99,84,130,40,40,7.413102413009131e+43,0
3C 390.3,Bentz2013,23.6,20.417379446695232,19.25637443141183,3.6375460316981822,4.0756771892661074,0.6565656565656566,0.0561,520.0,5.3,5.3,104,65,-1,100,4.1686938347033296e+43,0
3C 390.3,Bentz2013,46.4,51.88000389289609,11.550307075887236,17.250661823229898,21.609960517796143,1.0,0.0561,83.0,-1.0,3.32,25,25,-1,100,2.691534803926914e+44,3
Akn 120,Bentz2013,47.1,28.840315031266115,31.284486957564667,9.670159692627514,8.388221096337013,0.5305343511450382,0.03271,2027.0,-1.0,7.76595744680851,141,139,47,47,8.317637711026743e+43,2
F9,Bentz2013,17.4,28.840315031266115,28.058825391996717,1.5520913294226268,2.863661460542268,0.6923076923076923,0.04702,263.0,-1.0,4.066666666666666,45,45,70,70,8.317637711026743e+43,2
PG 1341+258,Hu2025,22.6,27.386127875258307,27.226420638356167,6.158036720346239,9.270574168884615,0.5922330097087378,0.0866,926.0,9.0,9.0,60,61,201,201,7.500000000000001e+43,0
Mrk 79,Bentz2013,9.0,19.275249131909366,19.66619468729853,5.443206345607578,3.7573668694136373,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,45,45,3.7153522909717277e+43,2
Mrk 79,Bentz2013,16.1,21.627185237270247,21.70407598273879,6.014272486527695,3.8554614554161972,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,54,54,4.677351412872e+43,0
Mrk 110,Bentz2013,24.3,20.417379446695232,19.614710326836406,8.144390517620163,3.226866760565869,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,47,47,4.1686938347033296e+43,0
Mrk 110,Bentz2013,20.4,22.13094709605632,22.268525806552375,6.099708394990952,5.686991951024375,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,49,49,4.897788193684437e+43,0
