name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
PG 1613+658 ,Bentz2013,40.1,99.3116048420935,101.58527637699106,24.248429326899554,39.54956545142914,0.5384615384615384,0.129,2739.0,-1.0,30.416666666666668,48,49,79,79,5.128613839913659e+44,2
PG 1617+175 ,Bentz2013,71.5,53.826978251628674,56.941628448837044,17.281268806752998,28.388627472179305,0.515625,0.114,2739.0,-1.0,42.94117647058823,34,33,69,69,2.1379620895022236e+44,0
PG 1700+518 ,Bentz2013,251.8,372.39170625456904,358.7541532512346,34.977934525304306,36.61305635896724,0.5285714285714286,0.292,2739.0,-1.0,39.45945945945946,37,37,200,200,3.3884415613920345e+45,0
PG 2130+099 ,Bentz2013,9.6,39.62780342554397,37.80907766666256,4.828468615983219,13.764378539892093,1.0,0.061,116.0,0.99,0.99,88,118,41,41,1.3803842646028867e+44,2
3C 120,Bentz2013,25.9,25.64484036517707,24.949242770930084,1.9374796973285449,3.3152216082860697,1.0,0.03301,128.0,0.99,0.99,84,130,40,40,7.413102413009131e+43,0
3C 390.3,Bentz2013,23.6,17.139573075084183,17.04235319454311,1.9891567876883656,5.256173434426753,0.6565656565656566,0.0561,520.0,5.3,5.3,104,65,-1,100,4.1686938347033296e+43,0
3C 390.3,Bentz2013,46.4,63.24118513762191,13.939999616234756,16.258622616376677,23.989810624305328,1.0,0.0561,83.0,-1.0,3.32,25,25,-1,100,2.691534803926914e+44,3
Akn 120,Bentz2013,47.1,27.79713267759297,28.7167584188775,11.369077258944781,8.0448434480552,0.5305343511450382,0.03271,2027.0,-1.0,7.76595744680851,141,139,47,47,8.317637711026743e+43,2
F9,Bentz2013,17.4,27.79713267759297,26.590184401621045,1.5747778435172677,2.8564385314771066,0.6923076923076923,0.04702,263.0,-1.0,4.066666666666666,45,45,70,70,8.317637711026743e+43,0
PG 1341+258,Hu2025,22.6,25.854901309756556,24.309372151472783,6.571913552296827,6.628586781892807,0.5922330097087378,0.0866,926.0,9.0,9.0,60,61,201,201,7.500000000000001e+43,0
Mrk 79,Bentz2013,9.0,15.812480392703844,15.85649576554381,3.886638891445079,3.4651936098388063,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,45,45,3.7153522909717277e+43,0
Mrk 79,Bentz2013,16.1,18.57804455091704,18.048911877881846,5.325449777841076,3.883192632962757,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,54,54,4.677351412872e+43,0
