name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
Mrk 817,Bentz2013,33.6,23.442288153199215,22.601258192638085,2.7844540986595305,5.196740705136143,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,46,46,4.073802778041122e+43,0
Mrk 817,Bentz2013,14.04,26.709555875589867,26.24987465113003,0.8107508003524977,1.8112693783990501,1.0,0.03146,116.0,0.56,0.56,88,208,99,99,6.025595860743593e+43,0
NGC 3227,Bentz2013,3.75,8.190932242152986,8.147295149789954,0.1825281681152191,0.7194585891568073,1.0,0.00386,84.0,0.45,0.45,75,187,107,107,1.7378008287493836e+42,2
NGC 3783,Bentz2013,10.2,10.391223038351669,10.094253504959866,0.8051254202143596,2.114455931988892,0.7666666666666667,0.00973,240.0,2.0,2.0,120,92,19,19,3.548133892335731e+42,0
NGC 4051,Bentz2013,1.87,6.606934480075965,6.338462068771146,0.18156968941911522,0.6643233493370513,1.0,0.00234,116.0,0.45,0.45,108,258,70,70,9.120108393559116e+41,2
NGC 4151,Bentz2013,6.58,7.3001760450088,7.154924457203347,0.40112949308224355,1.0334821666976666,1.0,0.00332,41.0,1.0,1.0,34,41,44,44,1.2302687708123912e+42,0
PG 1352+183,Hu2025,50.7,42.22072167116502,42.40171291869353,7.324178678639576,11.508399727276899,0.6030534351145038,0.1507,914.0,7.0,7.0,75,79,185,185,2.38e+44,0
NGC 5548,Bentz2013,19.7,18.908917484896392,18.332551465643494,1.4840212708890768,3.0374320456003456,0.5013698630136987,0.01718,365.0,1.0,1.0,132,183,20,20,2.1379620895022237e+43,0
NGC 5548,Bentz2013,18.6,15.607499630921097,14.805490514482484,1.4950597153318999,2.2457842418229177,0.5027322404371585,0.01718,365.0,2.0,2.0,94,92,21,21,1.2022644346174082e+43,0
NGC 5548,Bentz2013,15.9,18.33721315508881,17.681184139211204,1.266712994782786,3.299615125416997,0.5,0.01718,365.0,3.0,3.0,65,61,25,25,1.9498445997580415e+43,0
NGC 5548,Bentz2013,11.0,14.791083881682056,14.05003909109854,1.4419612672387405,2.222179342679489,0.5027322404371585,0.01718,365.0,2.0,2.0,83,92,23,23,1.0232929922807495e+43,0
NGC 5548,Bentz2013,13.0,17.919807223753313,17.522785273601464,1.1234413866494997,1.5858394530873188,0.5013698630136987,0.01718,365.0,1.0,1.0,142,183,26,26,1.819700858609975e+43,0
NGC 5548,Bentz2013,13.4,18.764341719560857,18.2671353442531,1.1368482642277549,2.987408675429778,0.5013698630136987,0.01718,365.0,1.0,1.0,128,183,23,23,2.0892961308540408e+43,0
NGC 5548,Bentz2013,21.7,20.892961308540407,20.296974914713964,1.5442845799398555,2.274498556279518,0.5,0.01718,365.0,2.1,2.1,78,87,39,39,2.8840315031266117e+43,0
NGC 5548,Bentz2013,16.4,19.498445997580415,18.76480090992525,1.1378604535566623,2.3042714961316406,0.5013698630136987,0.01718,365.0,1.0,1.0,144,183,26,26,2.3442288153199083e+43,0
NGC 5548,Bentz2013,17.5,16.85259044750751,16.244735551870107,0.8681761569150517,2.006828440108441,0.5030120481927711,0.01718,365.0,1.1,1.1,95,167,27,27,1.513561248436207e+43,0
NGC 5548,Bentz2013,26.5,21.877616239495573,21.099975564215434,1.4835943053124865,2.7074420603019185,0.5013698630136987,0.01718,365.0,1.0,1.0,119,183,25,25,3.311311214825935e+43,0
PG 2233+134,Hu2025,125.0,78.45362447808205,78.30944404188753,22.189688462330764,25.65120907583111,0.5479041916167665,0.3252,2002.0,6.0,6.0,171,183,210,210,1.527e+45,2
NGC 5548,Bentz2013,24.8,20.574691560478357,20.245436453184073,1.1562482572658688,2.6322026439604365,0.5013698630136987,0.01718,365.0,1.0,1.0,86,183,27,27,2.754228703338152e+43,0
NGC 5548,Bentz2013,6.5,15.25222956539016,15.193188108386396,1.2320821923853504,3.1423408801058947,0.5,0.01718,365.0,3.0,3.0,37,61,23,23,1.122018454301956e+43,2
NGC 5548,Bentz2013,14.3,15.25222956539016,14.281686794457546,2.2561230093278404,1.380497935392329,0.5043478260869565,0.01718,365.0,3.2,3.2,45,58,21,21,1.122018454301956e+43,0
NGC 5548,Bentz2013,6.3,13.593563908785242,12.49389574691091,2.357703808438723,5.116100507605886,1.0,0.01718,40.0,1.0,1.0,28,40,27,27,7.94328234724279e+42,1
